Metric,Effect,Pval_raw,Pval_FDR
MT,Age_main,1.1897611335733593e-21,1.2237543088183124e-20
MT,Age×Center,0.00975441912146201,0.01800815837808371
MT,Age×Inner2,1.4731420375831214e-72,1.0606622670598475e-70
MT,Age×Inner1,2.4468162280558158e-24,2.936179473666979e-23
MT,Age×Outer1,1.7969894839514167e-18,1.6172905355562752e-17
MT,Age×Outer2,2.7631141035214303e-09,1.1052456414085721e-08
MT,Age×Outer3,0.0014508320551794734,0.002984568799226345
MT,Age×Outer4,0.1958088605092636,0.2711199607051342
R1,Age_main,8.072100672242501e-13,4.470701910780462e-12
R1,Age×Center,0.023067642346280788,0.03862488951005155
R1,Age×Inner2,8.787739315910496e-33,1.5817930768638894e-31
R1,Age×Inner1,7.132014009715839e-05,0.00018339464596412157
R1,Age×Outer1,1.405069551495019e-09,6.322812981727586e-09
R1,Age×Outer2,2.897163838668806e-06,8.343831855366162e-06
R1,Age×Outer3,0.012290081917750306,0.021582582879951757
R1,Age×Outer4,0.37612737337786584,0.49238492514920623
R2s,Age_main,6.720157130667999e-06,1.7920419015114663e-05
R2s,Age×Center,0.9449142005850634,0.9763420306925571
R2s,Age×Inner2,4.462452682621753e-18,3.5699621460974027e-17
R2s,Age×Inner1,0.05183927933954968,0.0794133640946293
R2s,Age×Outer1,0.00037387627807416107,0.000868357807139987
R2s,Age×Outer2,0.011940567470358784,0.02149302144664581
R2s,Age×Outer3,0.5396903593754532,0.6370115717218464
R2s,Age×Outer4,0.9492214187288749,0.9763420306925571
ISOVF,Age_main,1.7947437045104212e-08,6.461077336237517e-08
ISOVF,Age×Center,0.028013217931458136,0.04482114869033302
ISOVF,Age×Inner2,5.844211388783075e-11,2.805221466615876e-10
ISOVF,Age×Inner1,8.063531067711961e-39,2.902871184376306e-37
ISOVF,Age×Outer1,6.786899367445148e-07,2.124594584591525e-06
ISOVF,Age×Outer2,0.08768364692424589,0.1262644515709141
ISOVF,Age×Outer3,0.6895659797223009,0.752253796060692
ISOVF,Age×Outer4,0.9637154928551974,0.9772889505010453
ICVF,Age_main,0.017453616281390423,0.029920485053812153
ICVF,Age×Center,0.6209964189181776,0.6986209712829499
ICVF,Age×Inner2,0.0025041966245856677,0.005008393249171335
ICVF,Age×Inner1,0.6054240668263268,0.6919132192300878
ICVF,Age×Outer1,2.232764139273501e-09,9.456412825158357e-09
ICVF,Age×Outer2,7.39429254386273e-09,2.8020477008321922e-08
ICVF,Age×Outer3,8.888926270947285e-05,0.00021333423050273482
ICVF,Age×Outer4,0.08150447204963174,0.1197616732157854
OD,Age_main,0.0009742322319815692,0.0020630800206668525
OD,Age×Center,0.12179359108288915,0.17194389329349055
OD,Age×Inner2,5.917704283749811e-06,1.6387488785768707e-05
OD,Age×Inner1,9.560273276098565e-07,2.8680819828295694e-06
OD,Age×Outer1,0.0005493616238263216,0.001198607179257429
OD,Age×Outer2,0.0416843197477274,0.0652450222138342
OD,Age×Outer3,0.4604506151565544,0.565640499409584
OD,Age×Outer4,0.9912152247975593,0.9912152247975593
MD,Age_main,0.00042551649654089664,0.0009574121172170175
MD,Age×Center,0.4635109647939647,0.565640499409584
MD,Age×Inner2,0.34871831338453296,0.46495775117937727
MD,Age×Inner1,6.882152898277947e-14,4.1292917389667684e-13
MD,Age×Outer1,0.4520980291508967,0.565640499409584
MD,Age×Outer2,0.024190153696275245,0.039583887866632216
MD,Age×Outer3,0.06445479660465306,0.09668219490697959
MD,Age×Outer4,0.3420854847885254,0.46471990386365714
FA,Age_main,8.370393084065458e-05,0.00020781665588024583
FA,Age×Center,0.6651104310235896,0.7367377082107454
FA,Age×Inner2,2.5464932242546776e-14,1.6667955649666979e-13
FA,Age×Inner1,4.954852352361442e-08,1.6988065208096372e-07
FA,Age×Outer1,2.4529041594222917e-12,1.261493567702893e-11
FA,Age×Outer2,1.4024425681810023e-07,4.5898120413196437e-07
FA,Age×Outer3,0.0055497719151284845,0.010799556159168944
FA,Age×Outer4,0.4213121366199294,0.5416870327970521
g_ratio,Age_main,2.444045197503703e-14,1.6667955649666979e-13
g_ratio,Age×Center,0.5648853955071235,0.6559959431695627
g_ratio,Age×Inner2,4.585921660027897e-34,1.1006211984066953e-32
g_ratio,Age×Inner1,3.4367324101307975e-25,4.9488946705883484e-24
g_ratio,Age×Outer1,0.0061102138400056984,0.01157724727580027
g_ratio,Age×Outer2,0.5187659125086267,0.622519095010352
g_ratio,Age×Outer3,0.8796643407724583,0.9453109333674178
g_ratio,Age×Outer4,0.8998932032857884,0.9528280975967172
