Metric,Effect,Layer,Interaction_coef,Layer_slope,Pval_raw,Pval_FDR
MT,Age_main,Outer5,0.0,-0.29839831537808376,1.1897611335733593e-21,1.2237543088183124e-20
MT,Age×Center,Center,0.24292801531212713,-0.05547030006595663,0.00975441912146201,0.01800815837808371
MT,Age×Inner2,Inner2,0.4895720935099183,0.19117377813183456,1.4731420375831214e-72,1.0606622670598475e-70
MT,Age×Inner1,Inner1,0.20868153068154158,-0.08971678469654218,2.4468162280558158e-24,2.936179473666979e-23
MT,Age×Outer1,Outer1,0.17977228686447053,-0.11862602851361323,1.7969894839514167e-18,1.6172905355562752e-17
MT,Age×Outer2,Outer2,0.12187466722226173,-0.17652364815582203,2.7631141035214303e-09,1.1052456414085721e-08
MT,Age×Outer3,Outer3,0.06527923691690744,-0.2331190784611763,0.0014508320551794734,0.002984568799226345
MT,Age×Outer4,Outer4,0.02651857635030688,-0.2718797390277769,0.1958088605092636,0.2711199607051342
R1,Age_main,Outer5,0.0,-0.21607272246670148,8.072100672242501e-13,4.470701910780462e-12
R1,Age×Center,Center,0.20683597631189685,-0.009236746154804631,0.023067642346280788,0.03862488951005155
R1,Age×Inner2,Inner2,0.31343719726338953,0.09736447479668806,8.787739315910496e-33,1.5817930768638894e-31
R1,Age×Inner1,Inner1,0.07875936039237978,-0.1373133620743217,7.132014009715839e-05,0.00018339464596412157
R1,Age×Outer1,Outer1,0.12006527887594542,-0.09600744359075605,1.405069551495019e-09,6.322812981727586e-09
R1,Age×Outer2,Outer2,0.0927617391693103,-0.12331098329739118,2.897163838668806e-06,8.343831855366162e-06
R1,Age×Outer3,Outer3,0.04964706771462847,-0.166425654752073,0.012290081917750306,0.021582582879951757
R1,Age×Outer4,Outer4,0.01755013726104116,-0.19852258520566032,0.37612737337786584,0.49238492514920623
R2s,Age_main,Outer5,0.0,-0.16064099795170028,6.720157130667999e-06,1.7920419015114663e-05
R2s,Age×Center,Center,0.007072501755404263,-0.153568496196296,0.9449142005850634,0.9763420306925571
R2s,Age×Inner2,Inner2,0.2562283420513928,0.0955873440996925,4.462452682621753e-18,3.5699621460974027e-17
R2s,Age×Inner1,Inner1,0.043352663934045174,-0.11728833401765511,0.05183927933954968,0.0794133640946293
R2s,Age×Outer1,Outer1,0.07932413286618052,-0.08131686508551976,0.00037387627807416107,0.000868357807139987
R2s,Age×Outer2,Outer2,0.05604833560115328,-0.10459266235054701,0.011940567470358784,0.02149302144664581
R2s,Age×Outer3,Outer3,0.013673356905471548,-0.14696764104622873,0.5396903593754532,0.6370115717218464
R2s,Age×Outer4,Outer4,-0.0014198727224064612,-0.16206087067410674,0.9492214187288749,0.9763420306925571
ISOVF,Age_main,Outer5,0.0,0.31705423990594905,1.7947437045104212e-08,6.461077336237517e-08
ISOVF,Age×Center,Center,0.3476019816018919,0.6646562215078409,0.028013217931458136,0.04482114869033302
ISOVF,Age×Inner2,Inner2,0.29720298854982014,0.6142572284557692,5.844211388783075e-11,2.805221466615876e-10
ISOVF,Age×Inner1,Inner1,0.4480735345114663,0.7651277744174154,8.063531067711961e-39,2.902871184376306e-37
ISOVF,Age×Outer1,Outer1,0.1707927560239548,0.4878469959299039,6.786899367445148e-07,2.124594584591525e-06
ISOVF,Age×Outer2,Outer2,0.05871735453769677,0.37577159444364583,0.08768364692424589,0.1262644515709141
ISOVF,Age×Outer3,Outer3,0.013734076964892697,0.33078831687084176,0.6895659797223009,0.752253796060692
ISOVF,Age×Outer4,Outer4,-0.0015641354860979617,0.3154901044198511,0.9637154928551974,0.9772889505010453
ICVF,Age_main,Outer5,0.0,0.07918940605314792,0.017453616281390423,0.029920485053812153
ICVF,Age×Center,Center,0.04544794891382617,0.12463735496697409,0.6209964189181776,0.6986209712829499
ICVF,Age×Inner2,Inner2,0.07958113605579178,0.1587705421089397,0.0025041966245856677,0.005008393249171335
ICVF,Age×Inner1,Inner1,0.010307509362701427,0.08949691541584935,0.6054240668263268,0.6919132192300878
ICVF,Age×Outer1,Outer1,0.11931072905704056,0.1985001351101885,2.232764139273501e-09,9.456412825158357e-09
ICVF,Age×Outer2,Outer2,0.11535657353611566,0.19454597958926356,7.39429254386273e-09,2.8020477008321922e-08
ICVF,Age×Outer3,Outer3,0.07819325710860003,0.15738266316174795,8.888926270947285e-05,0.00021333423050273482
ICVF,Age×Outer4,Outer4,0.03475677576130375,0.11394618181445168,0.08150447204963174,0.1197616732157854
OD,Age_main,Outer5,0.0,0.2512745658597298,0.0009742322319815692,0.0020630800206668525
OD,Age×Center,Center,-0.3342632231564252,-0.08298865729669541,0.12179359108288915,0.17194389329349055
OD,Age×Inner2,Inner2,-0.2814375018642756,-0.03016293600454578,5.917704283749811e-06,1.6387488785768707e-05
OD,Age×Inner1,Inner1,-0.23064734097015446,0.02062722488957533,9.560273276098565e-07,2.8680819828295694e-06
OD,Age×Outer1,Outer1,-0.16263546788204666,0.08863909797768313,0.0005493616238263216,0.001198607179257429
OD,Age×Outer2,Outer2,-0.09585790689685995,0.15541665896286982,0.0416843197477274,0.0652450222138342
OD,Age×Outer3,Outer3,-0.03473985468092895,0.21653471117880085,0.4604506151565544,0.565640499409584
OD,Age×Outer4,Outer4,0.0005182140533909976,0.25179277991312077,0.9912152247975593,0.9912152247975593
MD,Age_main,Outer5,0.0,0.1262391474963293,0.00042551649654089664,0.0009574121172170175
MD,Age×Center,Center,0.08270907756565211,0.2089482250619814,0.4635109647939647,0.565640499409584
MD,Age×Inner2,Inner2,0.03031338963418507,0.15655253713051437,0.34871831338453296,0.46495775117937727
MD,Age×Inner1,Inner1,0.18370587091313323,0.30994501840946254,6.882152898277947e-14,4.1292917389667684e-13
