BaseRegion,Metric,n_pairs,Cohen_dz,p_value,fdr_p_value,significance
DWM,MT,254,-3.25285219510637,2.0488044371533106e-43,6.914714975392423e-43,True
PVWM,MT,301,-3.341862070787113,4.8491395502943725e-51,4.364225595264936e-50,True
SWM,MT,236,-2.340072785647951,1.8852879717040638e-40,3.6359125168578375e-40,True
DWM,R1,254,-3.7545652594156045,2.0488044371533106e-43,6.914714975392423e-43,True
PVWM,R1,301,-3.700702341017272,4.344515521023151e-51,4.364225595264936e-50,True
SWM,R1,236,-2.389160697223401,1.8378065124149424e-40,3.6359125168578375e-40,True
DWM,R2*,254,-3.1049930921032107,2.333924073899104e-43,7.0017722216973124e-43,True
PVWM,R2*,301,-3.3498173633492776,4.567058931412357e-51,4.364225595264936e-50,True
SWM,R2*,236,-1.959806049623155,8.437213804763489e-38,1.1989724880453377e-37,True
DWM,ISOVF,249,1.255245314301724,1.0636688025766377e-34,1.435952883478461e-34,True
PVWM,ISOVF,297,1.0878411949614684,1.3420818482847051e-39,2.415747326912469e-39,True
SWM,ISOVF,231,1.7119223229919733,1.61023291390621e-38,2.5574287456157455e-38,True
DWM,ICVF,249,-2.6301467901135025,1.433223357688337e-42,3.517911877962282e-42,True
PVWM,ICVF,297,-3.7104318262331493,2.0011978342202465e-50,1.270313441843706e-49,True
SWM,ICVF,231,-1.931917897950494,2.2766236024863207e-38,3.4149354037294813e-38,True
DWM,OD,249,-0.008359067018937261,0.8697844470174679,0.8697844470174679,False
PVWM,OD,297,0.19847088335583937,0.04705851849670428,0.05082319997644062,False
SWM,OD,231,-1.2869882886484114,4.756808210954028e-33,6.1158962712266076e-33,True
DWM,FA,249,-2.465117669309309,2.058739517857799e-42,4.632163915180048e-42,True
PVWM,FA,297,-2.413508722448724,2.82291875965268e-50,1.270313441843706e-49,True
SWM,FA,231,-0.694951791845396,4.273932772890545e-21,5.017225429045422e-21,True
DWM,MD,249,3.123598255257338,1.3491805818075755e-42,3.517911877962282e-42,True
PVWM,MD,297,2.731961144849657,2.603538276899772e-50,1.270313441843706e-49,True
SWM,MD,231,2.413343649557126,1.7217602397488968e-39,2.9054704045762633e-39,True
DWM,g-ratio,249,0.22658190631110045,0.0016581550249294814,0.0018654244030456666,True
PVWM,g-ratio,297,-0.49594274511020875,1.912777541522728e-23,2.3474997100506208e-23,True
SWM,g-ratio,231,0.0904577819359323,0.6118214157279981,0.6353530086406134,False
