Metric,Layer,Beta_Age_mixed,p_Age_layer,p_Age_FDR
MT,Center,,,
MT,Inner2,,,
MT,Inner1,,,
MT,Outer1,,,
MT,Outer2,,,
MT,Outer3,,,
MT,Outer4,,,
MT,Outer5,,,
R1,Center,,,
R1,Inner2,,,
R1,Inner1,,,
R1,Outer1,,,
R1,Outer2,,,
R1,Outer3,,,
R1,Outer4,,,
R1,Outer5,,,
R2s,Center,,,
R2s,Inner2,,,
R2s,Inner1,,,
R2s,Outer1,,,
R2s,Outer2,,,
R2s,Outer3,,,
R2s,Outer4,,,
R2s,Outer5,,,
ISOVF,Center,,,
ISOVF,Inner2,,,
ISOVF,Inner1,,,
ISOVF,Outer1,,,
ISOVF,Outer2,,,
ISOVF,Outer3,,,
ISOVF,Outer4,,,
ISOVF,Outer5,,,
ICVF,Center,,,
ICVF,Inner2,,,
ICVF,Inner1,,,
ICVF,Outer1,,,
ICVF,Outer2,,,
ICVF,Outer3,,,
ICVF,Outer4,,,
ICVF,Outer5,,,
OD,Center,,,
OD,Inner2,,,
OD,Inner1,,,
OD,Outer1,,,
OD,Outer2,,,
OD,Outer3,,,
OD,Outer4,,,
OD,Outer5,,,
MD,Center,,,
MD,Inner2,,,
MD,Inner1,,,
MD,Outer1,,,
MD,Outer2,,,
MD,Outer3,,,
MD,Outer4,,,
MD,Outer5,,,
FA,Center,,,
FA,Inner2,,,
FA,Inner1,,,
FA,Outer1,,,
FA,Outer2,,,
FA,Outer3,,,
FA,Outer4,,,
FA,Outer5,,,
g_ratio,Center,,,
g_ratio,Inner2,,,
g_ratio,Inner1,,,
g_ratio,Outer1,,,
g_ratio,Outer2,,,
g_ratio,Outer3,,,
g_ratio,Outer4,,,
g_ratio,Outer5,,,
