Model,Term,Coefficient,Std_Error,Z_value,p_raw,p_FDR,Significant_FDR_0.05
PC1,Age,0.01372692854118549,0.0018699758102952086,7.340698454820361,2.1248205191557485e-13,5.31205129788937e-13,YES
PC1,C(NAWM_WMH)[T.WMH],5.2235713774269765,0.10614245787812653,49.212836049309466,0.0,0.0,YES
PC1,Age:C(NAWM_WMH)[T.WMH],-0.016100011010253084,0.001539900931654532,-10.455225189684494,1.386689730695603e-25,6.933448653478015e-25,YES
PC1,sex[T.M],-0.0526556074575753,0.04866652050413766,-1.0819677863162311,0.27926684219417375,0.3490835527427172,NO
PC1,Log_Voxel_Count,0.08207095888994162,0.01615007075298077,5.08177085693535,3.7393233100151677e-07,5.341890442878812e-07,YES
PC2,Age,0.01144950150055987,0.0015804707574288482,7.2443614959293665,4.3448115284098634e-13,8.689623056819727e-13,YES
PC2,C(NAWM_WMH)[T.WMH],0.9805498129559307,0.15822129145891575,6.1973316227831665,5.74284206065433e-10,9.571403434423884e-10,YES
PC2,Age:C(NAWM_WMH)[T.WMH],-0.02075053998247154,0.002296549730903378,-9.035528254948368,1.632122025181057e-19,5.440406750603524e-19,YES
PC2,sex[T.M],0.001955136975397811,0.03842501176338189,0.05088188358763261,0.959419641611115,0.959419641611115,NO
PC2,Log_Voxel_Count,-0.004208477740026483,0.013006270469971952,-0.32357298348844493,0.7462613445090709,0.8291792716767454,NO
