Region,Metric,N,N_flag_any,N_flag_cooks,N_flag_stud,N_flag_lev,Max_CooksD,Max_AbsStudResid,Max_Leverage
NAWM,FA,322,31,14,1,20,0.6921093198250797,3.6638127652988723,0.09675742884401203
NAWM,ICVF,322,35,9,1,30,0.09531177862344159,3.0020843780083983,0.03635357136202099
NAWM,ISOVF,322,19,12,1,10,4.043056764451228,6.4133537098086135,0.18116575300450358
NAWM,MD,322,25,13,1,17,4.019080719838188,6.487498251580683,0.1772991990350827
NAWM,MT,322,25,13,0,16,0.0598225590217104,2.8133868142231986,0.027164924842328228
NAWM,OD,322,16,5,1,13,4.953287725077387,4.040140809451464,0.3887456465163916
NAWM,R1,322,34,12,0,25,0.023882505841619255,2.6561089980081203,0.03385828404934459
NAWM,R2*,322,32,13,0,25,0.03970010635887285,2.6229842737509848,0.034968998075731166
NAWM,g-ratio,322,28,12,1,21,0.6566201759791389,3.7681882966980407,0.08784216788375131
WMH,FA,322,28,17,0,23,0.09296426042320052,2.4588583335708085,0.06299475857776837
WMH,ICVF,322,33,18,0,27,0.053867184597094254,2.6700550622933505,0.04563628399530272
WMH,ISOVF,322,36,14,4,29,0.8730189319792755,4.637760207634015,0.07951215472152846
WMH,MD,322,29,13,3,25,0.707139387353094,4.522365204861307,0.06834210498395538
WMH,MT,322,30,22,0,25,0.2974244068626438,2.6490564367998535,0.13460782311540662
WMH,OD,322,26,16,0,19,0.10486186760779716,2.703685834819302,0.09783634303897876
WMH,R1,322,27,18,1,17,0.07604328027101213,3.1107820034224947,0.09252530136469705
WMH,R2*,322,30,17,1,19,0.4484252723494804,4.076226019833684,0.05455663704658391
WMH,g-ratio,322,30,19,1,24,0.2752562622231314,3.2322032650470414,0.10454845083903269
