Region,Metric,Beta_all,P_all,Beta_noFlag,P_noFlag,N_removed
WMH,MT,-0.05743720457954104,0.3034251957507617,0.13407930879864094,0.11759557067862135,30
WMH,R1,-0.275607534646616,4.850360245972809e-07,-0.4355971020165505,2.7645204804262416e-09,27
WMH,R2*,-0.4346100365661901,2.5547310706405123e-16,-0.5829458734890456,3.158096127696877e-19,30
WMH,ISOVF,0.36769432838530586,8.858964736851257e-12,0.6217437682343877,6.639971012070768e-21,36
WMH,ICVF,-0.1713555550526388,0.0019972737302815843,0.009481573088836718,0.8999730390356122,33
WMH,OD,-0.10709236358941089,0.05451020647995054,-0.034703780480097854,0.6456668166291462,26
WMH,MD,0.37856785209045474,1.895781749216962e-12,0.5699269487415729,5.003775237628381e-17,29
WMH,FA,-0.11174794712489232,0.044764005491652076,-0.044104144343857156,0.5315229068681332,28
WMH,g-ratio,-0.21354947971806446,0.00010977736298558605,-0.33643320769126667,1.1302049488107801e-05,30
NAWM,MT,-0.5523413098144443,6.595128218559138e-43,-0.5684587044424836,2.3341327481069537e-39,25
NAWM,R1,-0.49834190713248633,3.528628850057332e-33,-0.5199381379434883,1.0178768765162425e-25,34
NAWM,R2*,-0.3437911829450627,7.112815114932986e-15,-0.38945179427633786,1.1691130709486447e-12,32
NAWM,ISOVF,0.5270179515480341,4.714689061873855e-38,0.6536551249254465,9.364197031183518e-46,19
NAWM,ICVF,-0.31979249804979326,6.449657063235124e-13,-0.39797773311244805,9.588162566770331e-12,35
NAWM,OD,0.26202956284201173,6.190951149428931e-09,0.4461556979279959,6.754272119934051e-12,16
NAWM,MD,0.5342426449644112,2.213981955713826e-39,0.6743543506107229,1.3231194390204692e-42,25
NAWM,FA,-0.5005052018078093,1.5871537608774004e-33,-0.6007925028646214,1.859713146868139e-33,31
NAWM,g-ratio,0.3974618255348046,5.35917752361286e-20,0.4788204640293677,3.506987307587343e-21,28
