Metric,Term,p_raw,p_fdr,reject_fdr_0.05
MT,logVol:LayerPos,1.0715482254580419e-276,9.643934029122377e-276,True
MT,logVol:I(LayerPos ** 2),3.380386774064806e-260,2.2817610724937442e-259,True
MT,logVol:I(LayerPos ** 3),5.583066284713242e-224,2.1534684241036792e-223,True
R1,logVol:LayerPos,3.847495597645437e-291,1.0388238113642682e-289,True
R1,logVol:I(LayerPos ** 2),1.0591836251211959e-282,1.4298978939136145e-281,True
R1,logVol:I(LayerPos ** 3),1.253674448913557e-248,6.7698420241332084e-248,True
R2*,logVol:LayerPos,1.4479886925564841e-207,4.886961837378134e-207,True
R2*,logVol:I(LayerPos ** 2),3.302686491496498e-187,9.908059474489496e-187,True
R2*,logVol:I(LayerPos ** 3),8.419066416186777e-163,2.27314793237043e-162,True
ISOVF,logVol:LayerPos,3.3895324935106436e-16,4.575868866239369e-16,True
ISOVF,logVol:I(LayerPos ** 2),3.677279978111915e-33,5.515919967167873e-33,True
ISOVF,logVol:I(LayerPos ** 3),3.6999571420991324e-37,5.876402519804504e-37,True
ICVF,logVol:LayerPos,1.5224424237565184e-12,1.8684520655193637e-12,True
ICVF,logVol:I(LayerPos ** 2),2.6941128591055346e-99,5.5954651689114954e-99,True
ICVF,logVol:I(LayerPos ** 3),2.9485983500785106e-141,7.237468677465436e-141,True
OD,logVol:LayerPos,4.537634299392939e-05,4.9006450433443736e-05,True
OD,logVol:I(LayerPos ** 2),0.004197061630783875,0.004358487078121717,True
OD,logVol:I(LayerPos ** 3),0.005099662445176324,0.005099662445176324,True
MD,logVol:LayerPos,3.466601498233668e-13,4.457059069157573e-13,True
MD,logVol:I(LayerPos ** 2),3.818349319096194e-83,7.363959401114089e-83,True
MD,logVol:I(LayerPos ** 3),8.597571868308402e-115,1.9344536703693907e-114,True
FA,logVol:LayerPos,9.696652379386757e-06,1.0908733926810101e-05,True
FA,logVol:I(LayerPos ** 2),1.304650486020878e-28,1.8539770064507215e-28,True
FA,logVol:I(LayerPos ** 3),9.378987643579102e-43,1.5827041648539738e-42,True
g-ratio,logVol:LayerPos,7.215668862921236e-240,3.2470509883145565e-239,True
g-ratio,logVol:I(LayerPos ** 2),4.585294439561433e-50,8.253529991210579e-50,True
g-ratio,logVol:I(LayerPos ** 3),4.814730497158861e-11,5.6520749314473585e-11,True
