Metric,Region,frontal_dz,frontal_pFDR,occipital_dz,occipital_pFDR,temporal_dz,temporal_pFDR,parietal_dz,parietal_pFDR
MT,PVWM,-4.657378484442898,2.301719978564315e-39,-3.5009052922921655,6.091217933771632e-37,-3.5732218309197115,3.3604915025283344e-25,-2.4834720316644656,9.563646050618433e-39
MT,DWM,-4.114257425479335,4.698619329027317e-32,-3.4853639812033603,3.956696294331917e-26,-2.568227417575332,1.121623773467564e-10,-3.645476193853589,1.7610998026108498e-27
MT,SWM,-2.5084958773782713,6.347128276657587e-29,-2.5937478211481637,1.234108625679731e-22,-1.9744695676143835,5.181992780076361e-11,-2.300723685742246,9.326632486740073e-23
R1,PVWM,-4.86924919989037,2.301719978564315e-39,-3.704227926439034,6.091217933771632e-37,-4.06195339780214,3.3604915025283344e-25,-2.5190317746026363,8.752232290542374e-39
R1,DWM,-4.542865389308044,4.698619329027317e-32,-3.614929424065306,3.956696294331917e-26,-2.0313522604386005,1.931837407663755e-10,-3.672846276295449,1.747374199718503e-27
R1,SWM,-2.656163467212171,5.222700806808377e-29,-2.045101104008486,1.6053818623411166e-22,-1.8061151262649837,7.761381490961337e-11,-2.1636094634636094,8.274532264234522e-23
R2*,PVWM,-3.206751724137109,2.301719978564315e-39,-2.616892765255412,8.222724442641414e-37,-2.4747728462285714,5.1700148961163666e-24,-2.919814023267253,8.677827574985015e-39
R2*,DWM,-3.2444979148883015,4.704708593697931e-32,-2.2307151636496942,6.755326444435685e-26,-2.790475833287731,1.0189122587754521e-10,-2.6382939775696443,2.4898192624054996e-26
R2*,SWM,-2.10862334001723,2.1160226799786466e-27,-2.2708257478905693,1.773349005716963e-22,-1.6994101793269536,3.592579575060129e-10,-1.623580008033551,5.223580997879829e-21
ISOVF,PVWM,1.4855830144718178,5.816995994046609e-37,1.0094417897687882,1.2812900530398802e-30,1.4768763259835067,2.997009197296756e-23,0.8656761804533443,8.961352634830077e-27
ISOVF,DWM,2.5285894985281354,1.4066232498930316e-31,0.601081818026444,7.660400151764142e-10,1.8887080300386645,1.4412341770875416e-10,1.9251250233021695,4.1147318724046944e-25
ISOVF,SWM,2.0358788427502494,2.696367181051022e-28,1.508515644092039,5.28290416289707e-21,1.5191589282683997,1.5402310887312777e-10,1.6685030646559442,2.6250907083493323e-22
ICVF,PVWM,-4.121189220067714,4.8857350307229145e-39,-3.395404280642769,1.1411884468805874e-36,-2.0956684436122712,3.677697976883402e-23,-3.4562359256440134,2.782104057287202e-38
ICVF,DWM,-2.4802499169116596,1.4641691090588476e-31,-3.752303799952223,1.6795907464201502e-25,-1.6063249852579848,5.082340254696486e-10,-2.4816013783639668,9.161927281897054e-27
ICVF,SWM,-1.65874296709592,6.428788575273679e-27,-3.326203511131941,4.925431295707399e-22,-1.100827542826482,6.286001718630786e-09,-1.5871224940014323,3.4545946584764955e-21
OD,PVWM,0.9770905703263173,1.4448478015143216e-28,-2.031796127413417,9.560086532053331e-36,-1.4950872523405474,8.47133758328746e-22,0.17545683097078305,0.5950309869969193
OD,DWM,0.21917497182498538,0.0005391049920847354,-0.8258776163849447,2.1624240092891644e-15,-0.30782706851192,0.013774074683375624,0.37534046527139553,6.893621099933981e-07
OD,SWM,-0.7763982803354972,5.734034718155937e-19,-3.7100233572922456,4.925431295707399e-22,-1.155903570908194,1.3225683002336137e-08,-0.8205576322310727,7.455944276628397e-14
MD,PVWM,3.4613884870885467,4.8857350307229145e-39,2.8620331087552224,1.0671493221300269e-36,2.0130856965689623,5.638259477955199e-23,1.7167808768497297,8.695868930367906e-37
MD,DWM,3.0950220142890745,1.3318772744636224e-31,3.845097703470377,1.6795907464201502e-25,2.411456156616146,1.4412341770875416e-10,2.434399812354285,3.170147121199475e-26
MD,SWM,2.2351730520199204,1.2887366573404307e-28,3.4718741124472845,4.925431295707399e-22,1.845854317699154,9.67314413885447e-11,1.8198177332050458,2.2526494256092056e-22
FA,PVWM,-3.748438956071135,4.8857350307229145e-39,-0.7110959855546987,3.1470261090142114e-20,-0.9773094987772496,1.9556025342156344e-18,-2.295421079991367,3.952271872148231e-38
FA,DWM,-2.039551949682188,8.122715746205793e-31,-1.3737046906591588,2.5960212206446277e-22,-1.1713390823280356,6.2009133257241376e-09,-1.9701417877445442,2.6092327315689596e-25
FA,SWM,-0.9075795511768817,1.949951285634112e-18,0.4869231976719077,1.8963828138673537e-06,-0.02973736628003678,0.49651595567633017,-0.600004950843749,1.152865389911382e-09
g-ratio,PVWM,-0.9326319042041906,3.70628810596151e-27,-0.2197346874620906,5.651855747565042e-07,-0.18733990097648823,1.5351706603165013e-05,-0.5395733771374696,2.3673475559181214e-20
g-ratio,DWM,0.40476542834820933,2.7531142399871635e-07,0.3171183131673659,0.0008249530078302457,0.849963105769943,6.812371285472795e-08,-0.1446759976776909,0.004470807611399177
g-ratio,SWM,0.10846715821315728,0.07996137930398943,-0.5745046998207275,3.3835554300817506e-09,0.28732305175108575,0.055558709130109414,-0.059173482595330916,0.019646255485558064
