Model,Term,Coefficient,Std_Error,Z_value,p_raw,p_FDR,Significant_FDR_0.05
PC1,Age,0.013726928541185375,0.001869975810295208,7.340698454820302,2.1248205191566858e-13,5.312051297891714e-13,YES
PC1,C(NAWM_WMH)[T.WMH],5.223571377426958,0.1061424578781264,49.212836049309345,0.0,0.0,YES
PC1,Age:C(NAWM_WMH)[T.WMH],-0.016100011010252758,0.00153990093165453,-10.455225189684295,1.3866897306985256e-25,6.9334486534926275e-25,YES
PC1,sex[T.M],-0.05265560745757539,0.04866652050413769,-1.0819677863162325,0.2792668421941731,0.34908355274271635,NO
PC1,Log_Voxel_Count,0.08207095888994194,0.016150070752980767,5.08177085693537,3.7393233100147527e-07,5.341890442878219e-07,YES
PC2,Age,0.011449501500559879,0.0015804707574288606,7.244361495929316,4.3448115284114663e-13,8.689623056822933e-13,YES
PC2,C(NAWM_WMH)[T.WMH],0.9805498129559496,0.15822129145891733,6.197331622783223,5.74284206065226e-10,9.571403434420432e-10,YES
PC2,Age:C(NAWM_WMH)[T.WMH],-0.020750539982471818,0.0022965497309034005,-9.0355282549484,1.6321220251805756e-19,5.440406750601919e-19,YES
PC2,sex[T.M],0.001955136975400443,0.038425011763382595,0.05088188358770017,0.9594196416110612,0.9594196416110612,NO
PC2,Log_Voxel_Count,-0.00420847774002513,0.013006270469972082,-0.32357298348833763,0.7462613445091522,0.8291792716768357,NO
