Metric,Degree,R2,RMSE,AIC,BIC,CV_RMSE,CV_R2,Best_R2,Best_AIC,Best_BIC,Best_CV_RMSE,Best_CV_R2,Elbow_CV_RMSE
MT,1,0.6844774081633754,0.14930606560864523,-8371.33760021934,-8359.943357584774,0.14930279807627497,0.6839523598394323,False,False,False,False,False,False
MT,2,0.7932778862776592,0.12085251411867393,-9300.463958517863,-9283.372594566015,0.12067938985985585,0.7925889928396491,False,False,False,False,False,True
MT,3,0.7937513406414897,0.1207140409086192,-9303.512969411015,-9280.724484141883,0.12056412842479321,0.7930051447741694,False,False,False,False,False,False
MT,4,0.8027591912163851,0.11804853679841511,-9399.848042912072,-9371.362436325659,0.11789255291495512,0.8019961252358415,False,False,False,False,False,False
MT,5,0.8051966299702911,0.11731686632619005,-9425.229188116282,-9391.046460212587,0.1171611135750035,0.8044140744231416,False,False,True,False,False,False
MT,6,0.8054237566462561,0.11724845487833503,-9425.798059110075,-9385.918209889096,0.11709330414366825,0.804632549567503,True,True,False,True,True,False
R1,1,0.6807822676699431,68.01096395966727,18587.421953980305,18598.81619661487,68.04310062940422,0.680177952646231,False,False,False,False,False,False
R1,2,0.8098868047065899,52.485768065992836,17448.227181110728,17465.318545062575,52.530229951321495,0.8091245859384906,False,False,False,False,False,True
R1,3,0.809943986188538,52.47787424331056,17449.564772787362,17472.353258056493,52.52835533996539,0.8091419440966258,False,False,False,False,False,False
R1,4,0.8183530323759063,51.30379628866313,17351.91596413972,17380.40157072613,51.35417255239604,0.8175573619276648,False,False,False,False,False,False
R1,5,0.8209062302370143,50.94196174518495,17322.745458636615,17356.92818654031,50.99199409879719,0.8201080931672088,False,False,True,False,False,False
R1,6,0.821166408834142,50.90494531141556,17321.544175726613,17361.42402494759,50.95532871870705,0.820363052302963,True,True,False,True,True,False
R2*,1,0.5985205918864607,0.0019936416225194904,-27379.15751609195,-27367.763273457385,0.001993469134093073,0.5980182579705251,False,False,False,False,False,False
R2*,2,0.7330602495795782,0.0016256314008143509,-28275.86696694896,-28258.775602997113,0.001624861103954698,0.7328433287087666,False,False,False,False,False,True
R2*,3,0.7335568619240385,0.001624118541738401,-28277.96736357613,-28255.178878306997,0.0016237400755337882,0.7332020186936232,False,False,False,False,False,False
R2*,4,0.7377446401097416,0.0016113045778784255,-28310.85182215756,-28282.36621557115,0.0016109993740382744,0.7373551752768692,False,False,False,False,False,False
R2*,5,0.7389555012309098,0.001607580491261236,-28319.042235563153,-28284.859507659457,0.0016072632170842937,0.7385637000066024,False,True,True,False,False,False
R2*,6,0.739080544810971,0.0016071954195606877,-28318.097273814255,-28278.217424593277,0.0016068872407876758,0.7386861792799643,True,False,False,True,True,False
ISOVF,1,0.29616964221503805,0.051449575112296995,-12861.575733202475,-12850.212612477357,0.05141601989669159,0.2906120020382009,False,False,False,False,False,False
ISOVF,2,0.3091236109104025,0.05097391265755746,-12899.849449246873,-12882.804768159194,0.05094397207747327,0.3035823305461163,False,False,False,False,False,False
ISOVF,3,0.31569684076473425,0.05073084165392762,-12918.575282283735,-12895.849040833496,0.0507005047099421,0.31024492754363164,False,False,False,False,False,False
ISOVF,4,0.3232861264201047,0.05044874131707239,-12940.753880262075,-12912.346078449276,0.0504175497544415,0.31795878929592886,False,False,True,False,False,True
ISOVF,5,0.32539322154065986,0.050370138544805314,-12945.514949023649,-12911.425586848292,0.05033798352252945,0.32014235614402703,False,True,False,False,False,False
ISOVF,6,0.3257044990575769,0.05035851629223139,-12944.515539917385,-12904.744617379469,0.05032633231169363,0.32046435111115407,True,False,False,True,True,False
ICVF,1,0.7311999906906261,0.05008321088553852,-12978.28508802004,-12966.921967294922,0.050272591138115344,0.7278150083358492,False,False,False,False,False,False
ICVF,2,0.7956193302471619,0.043671432063785806,-13570.281012728661,-13553.236331640983,0.04389263098781279,0.7918273738307438,False,False,False,False,False,True
ICVF,3,0.7963965994846568,0.04358831071148652,-13576.541735969864,-13553.815494519626,0.0438163161378195,0.7925731368557095,False,False,False,False,False,False
ICVF,4,0.7980484538827664,0.043411132489252685,-13592.202672763164,-13563.794870950365,0.04363957993486292,0.7942321077994379,False,True,True,False,False,False
ICVF,5,0.798196864524358,0.04339517851852074,-13591.796483560316,-13557.70712138496,0.04362411812350413,0.7943762922349575,False,False,False,False,False,False
ICVF,6,0.7982333670998013,0.04339125363546225,-13590.188671429569,-13550.417748891652,0.04362053762061299,0.7944101377073288,True,False,False,True,True,False
OD,1,0.029460901384059213,0.04477613785261154,-13463.962527402044,-13452.599406676925,0.04477229719863671,0.024603804838825738,False,False,False,False,False,False
OD,2,0.03021845761180042,0.044758659389412814,-13463.655424906186,-13446.610743818508,0.044759908885857756,0.025125344195225142,False,False,False,False,False,False
