Region,Group,FA,ICVF,ISOVF,MD,MT,OD,R1,R2*,g-ratio,Age mean,Age SD,Age min,Age max,% Female
NAWM_DWM_frontal,NAWM,348,348,348,348,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
NAWM_DWM_occipital,NAWM,347,348,348,347,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
NAWM_DWM_parietal,NAWM,347,348,348,347,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
NAWM_DWM_temporal,NAWM,348,348,348,348,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
NAWM_PVWM_frontal,NAWM,348,348,348,348,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
NAWM_PVWM_occipital,NAWM,348,348,348,348,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
NAWM_PVWM_parietal,NAWM,348,348,348,348,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
NAWM_PVWM_temporal,NAWM,348,348,348,348,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
NAWM_SWM_frontal,NAWM,341,348,348,341,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
NAWM_SWM_occipital,NAWM,347,348,348,347,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
NAWM_SWM_parietal,NAWM,347,348,348,347,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
NAWM_SWM_temporal,NAWM,341,348,348,341,353,348,353,353,348,55.43654390934844,22.33561841439189,19.77,92.51,50.42492917847026
WMH_DWM_frontal,WMH,186,186,186,186,189,186,189,189,186,70.10708994708996,12.698055073780397,24.44,92.51,51.32275132275132
WMH_DWM_occipital,WMH,147,147,147,147,151,147,151,151,147,63.27172185430465,20.441265902143122,19.77,88.69,52.980132450331126
WMH_DWM_parietal,WMH,157,157,157,157,160,157,160,160,157,72.2330625,10.274944367590292,23.29,92.51,54.37499999999999
WMH_DWM_temporal,WMH,55,55,55,55,56,55,56,56,55,76.26857142857145,5.897842881032915,66.66,88.69,57.14285714285714
WMH_PVWM_frontal,WMH,235,235,235,235,239,235,239,239,235,66.26514644351465,16.972032180738122,20.18,92.51,50.627615062761514
WMH_PVWM_occipital,WMH,218,218,218,218,220,218,220,220,218,65.7564090909091,17.635649095226483,20.06,92.51,50.45454545454545
WMH_PVWM_parietal,WMH,229,229,229,229,233,229,233,233,229,66.54596566523607,16.818611382227793,19.78,92.51,51.072961373390555
WMH_PVWM_temporal,WMH,143,143,143,143,145,143,145,145,143,74.27296551724137,7.276517703863298,36.33,92.51,55.172413793103445
WMH_SWM_frontal,WMH,168,168,168,168,170,168,170,170,168,70.268,13.18901087309624,22.94,92.51,54.70588235294118
WMH_SWM_occipital,WMH,125,125,125,125,129,125,129,129,125,63.83496124031007,20.190119919933572,19.77,88.69,55.03875968992248
WMH_SWM_parietal,WMH,129,129,129,129,131,129,131,131,129,72.77351145038169,11.0101403556808,25.67,92.51,54.19847328244275
WMH_SWM_temporal,WMH,57,57,57,57,58,57,58,58,57,74.63913793103448,10.492480061467372,26.88,88.69,58.620689655172406
