pair_key,p_FDR_WMH,dz_WMH,r_WMH,n_used_WMH,p_FDR_NAWM,dz_NAWM,r_NAWM,n_used_NAWM,p_FDR_Pct,dz_Pct,r_Pct,n_used_Pct
DWM_frontal vs DWM_occipital,6.92e-08,-0.65,-0.55,99,3.46e-58,-4.56,-0.87,347,5.31e-01,-0.06,0.07,100
DWM_frontal vs DWM_parietal,5.71e-05,-0.33,-0.34,143,3.46e-58,-6.75,-0.87,347,9.28e-02,0.26,0.15,143
DWM_frontal vs DWM_temporal,7.03e-10,-2.4,-0.86,53,3.46e-58,-13.07,-0.87,348,6.24e-09,-0.79,-0.8,54
DWM_occipital vs DWM_parietal,2.66e-04,0.41,0.39,89,4.04e-58,2.96,0.87,346,1.52e-01,0.32,0.16,90
DWM_occipital vs DWM_temporal,7.99e-05,-0.78,-0.63,41,2.19e-47,1.14,0.78,347,3.52e-06,-0.69,-0.73,41
DWM_parietal vs DWM_temporal,4.09e-10,2.59,0.87,54,3.46e-58,6.54,0.87,347,3.45e-10,0.87,0.87,54
DWM_frontal vs PVWM_frontal,8.97e-21,-1.0,-0.73,172,1.77e-16,0.48,0.44,348,1.51e-22,-0.73,-0.76,174
DWM_occipital vs PVWM_frontal,2.38e-14,-1.05,-0.73,115,3.46e-58,-3.47,-0.87,347,1.50e-08,-0.62,-0.53,116
DWM_parietal vs PVWM_frontal,8.62e-20,-1.07,-0.76,149,1.46e-56,-1.53,-0.85,347,3.40e-10,-0.48,-0.53,148
DWM_temporal vs PVWM_frontal,3.13e-10,-3.59,-0.87,55,3.46e-58,-3.32,-0.87,348,2.68e-10,-1.14,-0.87,55
PVWM_frontal vs PVWM_occipital,2.99e-11,-0.58,-0.5,183,3.46e-58,-2.61,-0.87,348,1.84e-01,-0.2,-0.1,183
PVWM_frontal vs PVWM_parietal,1.02e-06,-0.32,-0.35,198,3.46e-58,-3.35,-0.87,348,2.05e-01,0.04,-0.09,200
PVWM_frontal vs PVWM_temporal,1.46e-21,-1.59,-0.84,139,3.46e-58,-7.33,-0.87,348,1.10e-19,-0.76,-0.79,139
PVWM_frontal vs SWM_frontal,1.80e-21,-1.27,-0.78,157,1.85e-57,4.26,0.87,341,2.02e-24,-0.77,-0.86,153
