Region,n,Age mean,Age SD,% Female
NAWM_PVWM_frontal,353,55.43654390934844,22.33561841439189,50.42492917847026
NAWM_PVWM_occipital,353,55.43654390934844,22.33561841439189,50.42492917847026
NAWM_PVWM_temporal,353,55.43654390934844,22.33561841439189,50.42492917847026
NAWM_PVWM_parietal,353,55.43654390934844,22.33561841439189,50.42492917847026
NAWM_SWM_frontal,353,55.43654390934844,22.33561841439189,50.42492917847026
NAWM_SWM_occipital,353,55.43654390934844,22.33561841439189,50.42492917847026
NAWM_SWM_temporal,353,55.43654390934844,22.33561841439189,50.42492917847026
NAWM_SWM_parietal,353,55.43654390934844,22.33561841439189,50.42492917847026
NAWM_DWM_frontal,324,53.564197530864206,22.303459233520126,50.308641975308646
NAWM_DWM_occipital,0,,,
NAWM_DWM_temporal,30,32.73033333333333,12.869386954113729,36.666666666666664
NAWM_DWM_parietal,279,50.55304659498208,22.148786503160153,45.878136200716845
WMH_PVWM_frontal,255,64.88403921568627,17.968790215523125,50.588235294117645
WMH_PVWM_occipital,262,61.586832061068705,20.25222584338658,50.0
WMH_PVWM_temporal,154,73.57162337662339,8.83241241746159,54.54545454545454
WMH_PVWM_parietal,239,66.12523012552302,17.09675975029844,51.88284518828452
WMH_SWM_frontal,244,65.48168032786886,17.614492117453327,52.04918032786885
WMH_SWM_occipital,213,63.113521126760574,19.39578658037579,52.112676056338024
WMH_SWM_temporal,78,75.1351282051282,9.850145986602227,56.41025641025641
WMH_SWM_parietal,199,69.80793969849248,13.890480399673695,53.768844221105525
WMH_DWM_frontal,17,75.88823529411764,7.031890068905835,41.17647058823529
WMH_DWM_occipital,0,,,
WMH_DWM_temporal,0,,,
WMH_DWM_parietal,20,73.5605,15.92225799743372,40.0
