Metric,Layer,Beta_Age,p_Age_raw,p_Age_FDR,Beta_logVol,p_logVol_raw,p_logVol_FDR
MT,Center,-0.3228477346195406,0.34976887404394263,0.40618320856715917,-0.12014054292607787,0.6090283615053919,0.7072587423933583
MT,Inner2,0.20880498582126952,0.04914418910576714,0.06938003167873008,0.2837160776919043,0.01506679735309593,0.036160313647430234
MT,Inner1,-0.043527626340414086,0.620521665465782,0.6980868736490048,0.03581498374760282,0.6870102679274879,0.7505494431178231
MT,Outer1,-0.3909978742316973,5.842391464606945e-06,1.4505247774196553e-05,0.39029341214853347,7.615071152389541e-06,4.569042691433725e-05
MT,Outer2,-0.5723734478100982,1.5293506967786932e-11,1.1011325016806591e-10,0.415298217326906,8.578241972618451e-07,6.8625935780947605e-06
MT,Outer3,-0.564497325485812,5.377796380540455e-12,4.302237104432364e-11,0.19197967801966076,0.016560779222492935,0.03846374529095133
MT,Outer4,-0.5650876851495525,2.376361169656654e-13,2.1387250526909887e-12,0.04891873991883017,0.5131824252044741,0.615818910245369
MT,Outer5,-0.5660146589694078,1.1517022100089947e-14,1.3820426520107937e-13,-0.03211785753236433,0.6498457123381087,0.7310764263803724
R1,Center,-0.11655024194028761,0.7321374466200237,0.7986953963127531,-0.4140227276306058,0.07656025871396321,0.13780846568513377
R1,Inner2,0.11155050483706902,0.3162889201185201,0.3733246270251385,0.08763881357509123,0.4728572026282891,0.607959260522086
R1,Inner1,-0.14565411969102127,0.09021184725149987,0.1180955091292362,-0.0812826294730155,0.349009004414199,0.465345339218932
R1,Outer1,-0.3756423231073491,1.459468205882141e-05,3.389732607210134e-05,0.314425936462991,0.00031270824156881175,0.0011257496696477221
R1,Outer2,-0.4928369079512713,8.689647682276897e-09,3.4758590729107586e-08,0.34833227284531115,4.607812038254655e-05,0.00022117497783622343
R1,Outer3,-0.448559660913257,8.186153423158591e-08,2.947015232337093e-07,0.12669415883718602,0.12621601496576415,0.20194562394522264
R1,Outer4,-0.4212781086215614,1.3530754068584092e-07,4.6391156806574024e-07,-0.03145762094383959,0.6908123069205429,0.7505494431178231
R1,Outer5,-0.40147015434993627,2.1502125174093004e-07,6.590799716337369e-07,-0.11324637859116915,0.1402678320442701,0.21954965015624886
R2s,Center,-0.22175667316961567,0.5103936718850851,0.5833070535829544,-0.4908578139311348,0.034290887518045016,0.0726159970970365
R2s,Inner2,0.0195234927429509,0.8619381343778352,0.886564938217202,-0.032121037212285576,0.7942996682883733,0.8054869875600404
R2s,Inner1,-0.004828643295471734,0.9527974860809273,0.9550744076587314,-0.3646272375436986,1.3244871866215418e-05,6.811648388339357e-05
R2s,Outer1,-0.20448778662871553,0.01665318465506937,0.02606585424271728,-0.05400781594766229,0.5300211922707172,0.6255987843195351
R2s,Outer2,-0.34328968592514897,4.711549856287451e-05,9.977399695667544e-05,0.0398124377689001,0.6364256336593477,0.7273435813249688
R2s,Outer3,-0.3859828556449816,2.0305011138718108e-06,5.221288578527514e-06,-0.029025986657201616,0.7192191087696548,0.7615261151678698
R2s,Outer4,-0.3929200305566374,6.419457082294592e-07,1.777695807404656e-06,-0.08585899653330768,0.27320213450128267,0.38569713106063436
R2s,Outer5,-0.38874802321583474,5.378584895908003e-07,1.549032450021505e-06,-0.12247463191982551,0.11196941416517253,0.18748367023005633
ISOVF,Center,0.586980246750339,0.08796785956303134,0.11729047941737512,0.32624824997368285,0.16685607616539136,0.24517627518179955
ISOVF,Inner2,0.44474941521494643,7.523698458657073e-06,1.8056876300776976e-05,0.28017642987086955,0.009752760869070788,0.0260073623175221
ISOVF,Inner1,0.5946633791387873,3.266991975253128e-14,3.3603346031175035e-13,-0.09697300085494051,0.20194500916629843,0.29080081319946977
