AgeGroup,Metric,Layer,Beta_Age,p_Age,Beta_logVol,p_logVol,p_Age_FDR,p_logVol_FDR
<50,MT,Center,,,,,,
<50,MT,Inner2,0.2716596005213663,0.7684488920668193,0.26655958300269045,0.746277779587281,0.7835858921431949,0.8459734604349691
<50,MT,Inner1,1.39434079349383,0.014146024243689445,-0.43241477232306347,0.06624874049507419,0.06855380979634117,0.16937384677760164
<50,MT,Outer1,1.029897997613988,0.04456836144038202,0.4159025428446735,0.051582770520664914,0.13949915540872898,0.14129193664356043
<50,MT,Outer2,0.8734215101309623,0.058787057152572916,0.6239395325493355,0.0014444557244865167,0.14814338402448377,0.009100071064265055
<50,MT,Outer3,0.9571936770846361,0.027184659661548653,0.3620458792314966,0.044656935260632316,0.10703959741734782,0.13163362135860668
<50,MT,Outer4,0.8304684016129811,0.031876705540134685,0.24585925792054536,0.12549693140257262,0.11742003350231628,0.24348016478050258
<50,MT,Outer5,0.6940783124506599,0.048713990777651386,0.19408069303969178,0.18393930029735048,0.13949915540872898,0.33109074053523085
<50,R1,Center,,,,,,
<50,R1,Inner2,1.044011791483969,0.2609586027024818,0.02556451037903118,0.9751535807740714,0.34250816604700735,0.9751535807740714
<50,R1,Inner1,1.4001744250338164,0.007022056715078887,-0.3412842134665876,0.11087410025516935,0.052200665844201605,0.24086442469226446
<50,R1,Outer1,1.19247844450815,0.017879280368191332,0.4657874188152435,0.026279262076385437,0.080456761656861,0.0973878535771931
<50,R1,Outer2,1.1491035176775224,0.011723656546372087,0.6330139052953508,0.0009911101294723017,0.06822097676078265,0.0078049922695943765
<50,R1,Outer3,1.2065637816205181,0.005988528123042549,0.3721221046679467,0.04038942479972509,0.052200665844201605,0.12722668811913404
<50,R1,Outer4,1.1353658331263887,0.004552007582327642,0.19022039942760385,0.24648753306895888,0.052200665844201605,0.4086503837722213
<50,R1,Outer5,1.0553283171023475,0.0054214836628461004,0.1149442753444988,0.45970741184322383,0.052200665844201605,0.6582174305937069
<50,R2s,Center,,,,,,
<50,R2s,Inner2,1.0920064814878383,0.24213586028036888,0.3058821600286741,0.7109205533487375,0.3245650893119838,0.8294073122401938
<50,R2s,Inner1,1.2053636989907115,0.019168818725547595,-0.4563552497280615,0.03303349957395703,0.0805090386472999,0.11561724850884961
<50,R2s,Outer1,0.8582031417667084,0.09342822154092936,0.3561744510513303,0.09494268808805541,0.1839368111587047,0.2136210481981247
<50,R2s,Outer2,0.315602447792833,0.5123152864092386,0.5323375051953251,0.00906795804092237,0.5977011674774451,0.03917002086043148
<50,R2s,Outer3,0.13586753571903903,0.7711480208393345,0.4418733522470137,0.02499396522149147,0.7835858921431949,0.0973878535771931
<50,R2s,Outer4,0.2310422940986364,0.6132356179705315,0.2980851294634013,0.11976662472420158,0.67778673565164,0.2433966889556355
<50,R2s,Outer5,0.38803035108893685,0.3803054077480321,0.098763854563374,0.5918352925074168,0.4607546286178082,0.7457124685593453
<50,ISOVF,Center,,,,,,
<50,ISOVF,Inner2,0.2974814077589804,0.7506110832910237,0.8100821323005676,0.3354527804291594,0.7835858921431949,0.49147732946597766
<50,ISOVF,Inner1,1.6321962591655064,0.00044765069895377334,-0.5786768175428904,0.0023185929598167746,0.019827161893821877,0.013279214224405164
<50,ISOVF,Outer1,1.6952635565381182,0.0006294337109149802,-0.7875896571560773,0.0001286526019301968,0.019827161893821877,0.002701704640534133
<50,ISOVF,Outer2,1.2425309593596987,0.012500999862727454,-0.8235431654693637,8.514532171959229e-05,0.06822097676078265,0.0026820776341671573
<50,ISOVF,Outer3,0.869635722555063,0.0793125834975082,-0.7148734376767517,0.0006064779396187153,0.17845331286939345,0.0064693450413678645
<50,ISOVF,Outer4,0.8430854481047748,0.07558702357277187,-0.6340354660862497,0.0014243942011290638,0.17845331286939345,0.009100071064265055
<50,ISOVF,Outer5,0.7364193105541853,0.10599178191318571,-0.4926601904640254,0.009326195442959876,0.19415473678514852,0.03917002086043148
<50,ICVF,Center,,,,,,
<50,ICVF,Inner2,0.4590882105140587,0.5526007059023079,-0.9309023301547145,0.18230034969447712,0.6216757941400964,0.33109074053523085
<50,ICVF,Inner1,1.2121246834194848,0.0129944717639586,-1.1593165881612622,5.3766351139806324e-08,0.06822097676078265,3.3872801218077987e-06
