Metric,Layer,Beta_Age_raw,PctChangePerDecade,p_Age_raw,R2_full,R2_AgeOnly,R2_VolOnly,PartialR2_Age,PartialR2_Vol,p_Age_FDR,Group,GroupCombined
MT,Center,-0.0018935512565864138,-2.310748512749374,0.3497688740439271,0.015443978829697835,0.012852144264811849,0.006754816247407258,0.008748255440275016,0.0026255788834750513,0.40618320856714113,Myelin-sensitive,Myelin-sensitive
MT,Inner2,0.0015778715162278801,1.9130371221074312,0.04914418910576859,0.1136793412794187,0.09125700876985676,0.09905506918286078,0.016232148710014938,0.02467400874168985,0.06938003167873213,Myelin-sensitive,Myelin-sensitive
MT,Inner1,-0.0002862256293689732,-0.29241737629299247,0.6205216654657826,0.0007589073164228077,0.0002573359554213228,1.4373739953832398e-06,0.000757471031196587,0.0005017004665703851,0.6980868736490055,Myelin-sensitive,Myelin-sensitive
MT,Outer1,-0.002186942902723932,-1.742485198347593,5.842391464606783e-06,0.06756091082683924,0.007996663854275332,0.006440786774824847,0.0615163376660898,0.06004440187065455,1.450524777419615e-05,Myelin-sensitive,Myelin-sensitive
MT,Outer2,-0.002893330614289996,-2.0659739013455964,1.5293506967785766e-11,0.13262751699322994,0.06518661845522988,0.0016507120106223905,0.1311933674499712,0.0721437025500797,1.1011325016805751e-10,Myelin-sensitive,Myelin-sensitive
MT,Outer3,-0.0027386215164427233,-1.869036210318433,5.377796380540123e-12,0.19528712922293445,0.1808754783706269,0.06789012609642642,0.13667595065052085,0.017593968281697167,4.3022371044320986e-11,Myelin-sensitive,Myelin-sensitive
MT,Outer4,-0.0027131178523789167,-1.8226960565808328,2.376361169656543e-13,0.2924914899452856,0.2915557530849606,0.16482788013554617,0.15285904159547245,0.001320833452173149,2.138725052690889e-12,Myelin-sensitive,Myelin-sensitive
MT,Outer5,-0.0027617671861828036,-1.8415072521538765,1.1517022100090158e-14,0.3670549315608349,0.3666515682911273,0.23897213764669856,0.168302371371884,0.0006368741904345489,1.382042652010819e-13,Myelin-sensitive,Myelin-sensitive
R1,Center,-0.31645284061407297,-0.5033363178675516,0.732137446619992,0.03880924450539036,0.008028688438924458,0.037676821208390554,0.00117675986815759,0.03102968372948833,0.7986953963127186,Myelin-sensitive,Myelin-sensitive
R1,Inner2,0.3453337410897208,0.5355418453093057,0.3162889201185354,0.019128533884117505,0.016989065498553724,0.014954695678810692,0.0042372043062355105,0.0021764441375709165,0.3733246270251565,Myelin-sensitive,Myelin-sensitive
R1,Inner1,-0.404960265825809,-0.5589915872808277,0.09021184725149949,0.04839443241727592,0.04581099049286297,0.039912770055637425,0.008834262238994695,0.0027074739896106835,0.11809550912923569,Myelin-sensitive,Myelin-sensitive
R1,Outer1,-0.941506036274468,-1.1039206411726603,1.4594682058821332e-05,0.056662089772746005,0.018004040058536064,0.0002484046727335709,0.05642770200486206,0.039366811362965604,3.3897326072101155e-05,Myelin-sensitive,Myelin-sensitive
R1,Outer2,-1.100458442310564,-1.1999833797628805,8.689647682277214e-09,0.09907307865815318,0.05162805787928637,0.0019680137558094613,0.0972965458429554,0.05002786214106254,3.475859072910886e-08,Myelin-sensitive,Myelin-sensitive
R1,Outer3,-0.9726031873510602,-1.0301571735118593,8.186153423159129e-08,0.13484275794731881,0.1285662743384578,0.05440205370067597,0.08506861141297337,0.007202479573643162,2.947015232337286e-07,Myelin-sensitive,Myelin-sensitive
R1,Outer4,-0.9026439457841775,-0.9478885131230222,1.3530754068583372e-07,0.2089630130953538,0.20857606299458276,0.13800961190298255,0.0823134482381089,0.0004889289831631748,4.6391156806571557e-07,Myelin-sensitive,Myelin-sensitive
R1,Outer5,-0.8711784209950587,-0.9124220149504739,2.1502125174093563e-07,0.25663294665073433,0.25161816694026884,0.19219495970808465,0.07976923109982555,0.006700830363509426,6.590799716336812e-07,Myelin-sensitive,Myelin-sensitive
R2s,Center,-1.6353395947248185e-05,-1.2855927506726161,0.510393671885077,0.060556218013327334,0.017290938413991985,0.05645667137162769,0.004344841956181443,0.04402653978738011,0.5833070535829451,Myelin-sensitive,Myelin-sensitive
R2s,Inner2,1.8681857981659385e-06,0.1386819562633664,0.8619381343778517,0.00028745748627467815,5.4011031314082913e-08,0.00015960547612980935,0.00012787241928323236,0.000287403490766323,0.8865649382172189,Myelin-sensitive,Myelin-sensitive
R2s,Inner1,-4.1589707236262463e-07,-0.025990675288465655,0.9527974860809244,0.13940093353317595,0.08741313485120905,0.13939161203577555,1.0831288110560127e-05,0.056967507058619186,0.9550744076587248,Myelin-sensitive,Myelin-sensitive
R2s,Outer1,-1.580901615820818e-05,-0.8313709754938706,0.016653184655069247,0.06493086477208032,0.06379030921715667,0.048213409000912866,0.017564290072230582,0.0012182693323436293,0.026065854242717085,Myelin-sensitive,Myelin-sensitive
R2s,Outer2,-2.5071826155979888e-05,-1.220151179589833,4.711549856287485e-05,0.10300443576379681,0.10238465119976192,0.05588967988483762,0.04990386703241645,0.0006904790173912432,9.977399695667616e-05,Myelin-sensitive,Myelin-sensitive
R2s,Outer3,-2.7999531044612348e-05,-1.3221693413793443,2.030501113871829e-06,0.17555608470112383,0.17522664404313704,0.1159937840716988,0.06737769436030291,0.0003994317415898928,5.22128857852756e-06,Myelin-sensitive,Myelin-sensitive
R2s,Outer4,-2.7409555412850533e-05,-1.2851255494865674,6.419457082294487e-07,0.22474248565494326,0.22185994905080741,0.16301994806450115,0.07374433530131337,0.0037043930596036808,1.777695807404627e-06,Myelin-sensitive,Myelin-sensitive
R2s,Outer5,-2.5572184600068266e-05,-1.1972206625129571,5.378584895907942e-07,0.25182045552064114,0.24595508435355906,0.19140169356760117,0.07472036667948569,0.007778543486436361,1.5490324500214874e-06,Myelin-sensitive,Myelin-sensitive
ISOVF,Center,0.0011917975451224835,5.717741574208767,0.08796785956303937,0.06828399020299747,0.05003198930504871,0.04033682275480932,0.029121850364638657,0.01921327949200781,0.11729047941738584,Fluid-sensitive,Fluid/Composite
