BaseRegion,Metric,Cohen_dz,n_pairs,p_value,fdr_p_value,significance
DWM,FA,-2.4931356649320273,247,4.2334866060450645e-42,9.525344863601396e-42,True
DWM,ICVF,-2.6301467901135025,249,1.433223357688337e-42,3.8697030657585103e-42,True
DWM,ISOVF,1.255245314301724,249,1.0636688025766377e-34,1.435952883478461e-34,True
DWM,MD,3.1303313433893543,247,2.867620516389245e-42,7.038704903864511e-42,True
DWM,MT,-3.25285219510637,254,2.0488044371533106e-43,6.914714975392423e-43,True
DWM,OD,-0.008359067018937261,249,0.8697844470174679,0.8697844470174679,False
DWM,R1,-3.7545652594156045,254,2.0488044371533106e-43,6.914714975392423e-43,True
DWM,R2*,-3.1049930921032107,254,2.333924073899104e-43,7.0017722216973124e-43,True
DWM,g-ratio,0.22658190631110045,249,0.0016581550249294814,0.0018654244030456666,True
PVWM,FA,-2.413508722448724,297,2.82291875965268e-50,1.270313441843706e-49,True
PVWM,ICVF,-3.7104318262331493,297,2.0011978342202465e-50,1.270313441843706e-49,True
PVWM,ISOVF,1.0878411949614684,297,1.3420818482847051e-39,2.415747326912469e-39,True
PVWM,MD,2.731961144849657,297,2.603538276899772e-50,1.270313441843706e-49,True
PVWM,MT,-3.341862070787113,301,4.8491395502943725e-51,4.364225595264936e-50,True
PVWM,OD,0.19847088335583937,297,0.04705851849670428,0.05082319997644062,False
PVWM,R1,-3.700702341017272,301,4.344515521023151e-51,4.364225595264936e-50,True
PVWM,R2*,-3.3498173633492776,301,4.567058931412357e-51,4.364225595264936e-50,True
PVWM,g-ratio,-0.49594274511020875,297,1.912777541522728e-23,2.3474997100506208e-23,True
SWM,FA,-0.698874696866568,222,1.5595318201793617e-20,1.8307547454279465e-20,True
SWM,ICVF,-1.931917897950494,231,2.2766236024863207e-38,3.6158139568900387e-38,True
SWM,ISOVF,1.7119223229919733,231,1.61023291390621e-38,2.7172680422167294e-38,True
SWM,MD,2.3921660947054995,222,5.207905504405147e-38,7.81185825660772e-38,True
SWM,MT,-2.340072785647951,236,1.8852879717040638e-40,3.6359125168578375e-40,True
SWM,OD,-1.2869882886484114,231,4.756808210954028e-33,6.1158962712266076e-33,True
SWM,R1,-2.389160697223401,236,1.8378065124149424e-40,3.6359125168578375e-40,True
SWM,R2*,-1.959806049623155,236,8.437213804763489e-38,1.1989724880453377e-37,True
SWM,g-ratio,0.0904577819359323,231,0.6118214157279981,0.6353530086406134,False
