PC,CVR,Predictor,Beta,p,p_fdr
PC1,F3SBP,Intercept,0.18249379837815766,0.14200808267943138,0.17856850206609448
PC1,F3SBP,F3SBP,0.4665282569759842,0.007232951312439293,0.007232951312439293
PC1,F3SBP,Sex,1.4472954221815661,0.1097160381328536,0.6039415826019026
PC1,F3SBP,Interaction,-1.4011620149632567,0.12721767035870174,0.5657783843497849
PC1,F3SBP,F3age,0.07394585981399779,0.591572840926343,0.591572840926343
PC1,F3SBP,volumes,-0.22782454553827428,0.07780276987316126,0.16517901990144884
PC2,F3SBP,Intercept,-0.12184895166849577,0.18115315305592256,0.25085835595015654
PC2,F3SBP,F3SBP,-0.104607874859895,0.40631341098749496,0.40631341098749496
PC2,F3SBP,Sex,-0.6937262816650873,0.29477662029222085,0.39480903187874516
PC2,F3SBP,Interaction,0.7209774075735836,0.28375429363374144,0.38622716790816936
PC2,F3SBP,F3age,0.11050777291883618,0.2751643686519243,0.4802751267832548
PC2,F3SBP,volumes,-0.28929372397772113,0.0025259081218674552,0.005695624628688891
PC1,F3DBP,Intercept,0.1841216833607546,0.14205408250558307,0.17856850206609448
PC1,F3DBP,F3DBP,0.3898509899419036,0.0158149005030718,0.0158149005030718
PC1,F3DBP,Sex,0.8376097492858345,0.40103713768645877,0.9109130454089098
PC1,F3DBP,Interaction,-0.7389166054917085,0.4624314811264515,0.7503253370856175
PC1,F3DBP,F3age,0.21078675338986885,0.10753567599728599,0.2513995829887634
PC1,F3DBP,volumes,-0.20987025754572133,0.11011934660096588,0.16517901990144884
PC2,F3DBP,Intercept,-0.1286380487065133,0.16142847174743907,0.25085835595015654
PC2,F3DBP,F3DBP,0.018292588864255478,0.8759333282717381,0.8759333282717381
PC2,F3DBP,Sex,-0.7580557291092471,0.29998527457297414,0.39480903187874516
PC2,F3DBP,Interaction,0.763786358745077,0.30039890837302063,0.38622716790816936
PC2,F3DBP,F3age,0.11192321021702063,0.24252767283604065,0.4802751267832548
PC2,F3DBP,volumes,-0.3100582332715054,0.0014840431331225054,0.005695624628688891
PC1,F3BMI,Intercept,0.1795962697521934,0.14739678877947474,0.17856850206609448
PC1,F3BMI,F3BMI,0.36558756449371005,0.013338518459024997,0.013338518459024997
PC1,F3BMI,Sex,-0.1698713851344152,0.8604654656845064,0.9109130454089098
PC1,F3BMI,Interaction,0.3082266863152088,0.7503253370856175,0.7503253370856175
PC1,F3BMI,F3age,0.1847301339436382,0.1525439377371399,0.2513995829887634
PC1,F3BMI,volumes,-0.18699497415789035,0.145031669652719,0.1667376459211239
PC2,F3BMI,Intercept,-0.12158194754031983,0.18185435336262856,0.25085835595015654
PC2,F3BMI,F3BMI,0.022675349509144255,0.832819501202956,0.832819501202956
PC2,F3BMI,Sex,-0.9663647519561023,0.1750809490572494,0.39480903187874516
PC2,F3BMI,Interaction,0.9634838403402304,0.17730789919836507,0.38622716790816936
PC2,F3BMI,F3age,0.06681255936795166,0.4802751267832548,0.4802751267832548
PC2,F3BMI,volumes,-0.30042157019455407,0.001681952406467988,0.005695624628688891
PC1,F3WHR,Intercept,0.18249379837815766,0.14831058751071238,0.17856850206609448
PC1,F3WHR,F3WHR,-0.11463316878288277,0.5917668964756949,0.5917668964756949
PC1,F3WHR,Sex,-2.7274924313587836,0.13420924057820055,0.6039415826019026
PC1,F3WHR,Interaction,2.923620662448683,0.12520175329551653,0.5657783843497849
PC1,F3WHR,F3age,0.17241663034677962,0.19551632842305833,0.2513995829887634
PC1,F3WHR,volumes,-0.2128693089723416,0.10326388815202212,0.16517901990144884
PC2,F3WHR,Intercept,-0.12184895166849577,0.17834835318637784,0.25085835595015654
PC2,F3WHR,F3WHR,-0.25042902802082356,0.10392309370249145,0.10392309370249145
PC2,F3WHR,Sex,-1.9537427564396603,0.13483997578682286,0.39480903187874516
PC2,F3WHR,Interaction,2.1207170282189907,0.12113662787620356,0.38622716790816936
PC2,F3WHR,F3age,0.10091350396537774,0.29052505447529264,0.4802751267832548
PC2,F3WHR,volumes,-0.2863136499025323,0.002531388723861729,0.005695624628688891
PC1,F3bmpsc,Intercept,0.15205598698120992,0.2324124201822481,0.2324124201822481
PC1,F3bmpsc,F3bmpsc,0.5162068253000743,0.04130718299082185,0.04130718299082185
PC1,F3bmpsc,Sex,0.20691795171562588,0.7990177259639523,0.9109130454089098
PC1,F3bmpsc,Interaction,0.3260006918056083,0.6410745785029837,0.7503253370856175
PC1,F3bmpsc,F3age,0.17080902014733002,0.2234662959900119,0.2513995829887634
PC1,F3bmpsc,volumes,-0.19245940448718452,0.1482112408187768,0.1667376459211239
PC2,F3bmpsc,Intercept,-0.17050195601529244,0.06594531906802653,0.25085835595015654
PC2,F3bmpsc,F3bmpsc,0.012612453553340064,0.9447756382405267,0.9447756382405267
PC2,F3bmpsc,Sex,-0.6590805147783784,0.2646887110458025,0.39480903187874516
PC2,F3bmpsc,Interaction,0.7331238713505508,0.14987402668747904,0.38622716790816936
PC2,F3bmpsc,F3age,0.07608286030654896,0.45400896347124986,0.4802751267832548
PC2,F3bmpsc,volumes,-0.2778432730631366,0.00445362468027733,0.006680437020415995
PC1,F3hdlch,Intercept,0.19306180367321563,0.1345070759689851,0.17856850206609448
PC1,F3hdlch,F3hdlch,-0.10883660303158015,0.5808234057330817,0.5808234057330817
PC1,F3hdlch,Sex,-0.1450072167634118,0.7942945759236408,0.9109130454089098
PC1,F3hdlch,Interaction,0.22953031581360048,0.657429949166089,0.7503253370856175
PC1,F3hdlch,F3age,0.19475454957952376,0.1495367370799896,0.2513995829887634
PC1,F3hdlch,volumes,-0.21723833688050634,0.10343467674875054,0.16517901990144884
PC2,F3hdlch,Intercept,-0.11933469732618299,0.19511205462789952,0.25085835595015654
PC2,F3hdlch,F3hdlch,0.013671907398202478,0.9226437475177032,0.9226437475177032
PC2,F3hdlch,Sex,0.14272472583380508,0.7195673116761065,0.7195673116761065
PC2,F3hdlch,Interaction,-0.14010799013512742,0.7048460182691676,0.7048460182691676
PC2,F3hdlch,F3age,0.0983504416353081,0.3076416641358441,0.4802751267832548
PC2,F3hdlch,volumes,-0.28074107756482647,0.0035697346978782007,0.006425522456180761
PC1,F3ldlch,Intercept,0.2018949165626777,0.11059386751973721,0.17856850206609448
PC1,F3ldlch,F3ldlch,0.11398262719923845,0.47269059906064526,0.47269059906064526
PC1,F3ldlch,Sex,-0.052606343446833854,0.9109130454089098,0.9109130454089098
PC1,F3ldlch,Interaction,0.20160590139944817,0.6735209996629734,0.7503253370856175
PC1,F3ldlch,F3age,0.19890337274716124,0.13493056355663646,0.2513995829887634
PC1,F3ldlch,volumes,-0.2198354611676352,0.10064502972013097,0.16517901990144884
PC2,F3ldlch,Intercept,-0.10336705844821803,0.25152523174675817,0.25152523174675817
PC2,F3ldlch,F3ldlch,-0.12925680292328245,0.2546976851335375,0.2546976851335375
PC2,F3ldlch,Sex,-0.34348945710693934,0.30707369146124625,0.39480903187874516
PC2,F3ldlch,Interaction,0.38727154546002046,0.2579011579336966,0.38622716790816936
PC2,F3ldlch,F3age,0.06892362866398132,0.4667656488033406,0.4802751267832548
PC2,F3ldlch,volumes,-0.2525926353119206,0.008727307391297148,0.009818220815209291
PC1,F3chol,Intercept,0.1806092607622363,0.15872755739208397,0.17856850206609448
