Region,Group,Metric,n
NAWM_DWM_frontal,NAWM,FA,191
NAWM_DWM_frontal,NAWM,ICVF,192
NAWM_DWM_frontal,NAWM,ISOVF,192
NAWM_DWM_frontal,NAWM,MD,191
NAWM_DWM_frontal,NAWM,MT,195
NAWM_DWM_frontal,NAWM,OD,192
NAWM_DWM_frontal,NAWM,R1,195
NAWM_DWM_frontal,NAWM,R2*,195
NAWM_DWM_frontal,NAWM,g-ratio,192
NAWM_DWM_occipital,NAWM,FA,191
NAWM_DWM_occipital,NAWM,ICVF,192
NAWM_DWM_occipital,NAWM,ISOVF,192
NAWM_DWM_occipital,NAWM,MD,191
NAWM_DWM_occipital,NAWM,MT,195
NAWM_DWM_occipital,NAWM,OD,192
NAWM_DWM_occipital,NAWM,R1,195
NAWM_DWM_occipital,NAWM,R2*,195
NAWM_DWM_occipital,NAWM,g-ratio,192
NAWM_DWM_parietal,NAWM,FA,191
NAWM_DWM_parietal,NAWM,ICVF,192
NAWM_DWM_parietal,NAWM,ISOVF,192
NAWM_DWM_parietal,NAWM,MD,191
NAWM_DWM_parietal,NAWM,MT,195
NAWM_DWM_parietal,NAWM,OD,192
NAWM_DWM_parietal,NAWM,R1,195
NAWM_DWM_parietal,NAWM,R2*,195
NAWM_DWM_parietal,NAWM,g-ratio,192
NAWM_DWM_temporal,NAWM,FA,192
NAWM_DWM_temporal,NAWM,ICVF,192
NAWM_DWM_temporal,NAWM,ISOVF,192
NAWM_DWM_temporal,NAWM,MD,192
NAWM_DWM_temporal,NAWM,MT,195
NAWM_DWM_temporal,NAWM,OD,192
NAWM_DWM_temporal,NAWM,R1,195
NAWM_DWM_temporal,NAWM,R2*,195
NAWM_DWM_temporal,NAWM,g-ratio,192
NAWM_PVWM_frontal,NAWM,FA,192
NAWM_PVWM_frontal,NAWM,ICVF,192
NAWM_PVWM_frontal,NAWM,ISOVF,192
NAWM_PVWM_frontal,NAWM,MD,192
NAWM_PVWM_frontal,NAWM,MT,195
NAWM_PVWM_frontal,NAWM,OD,192
NAWM_PVWM_frontal,NAWM,R1,195
NAWM_PVWM_frontal,NAWM,R2*,195
NAWM_PVWM_frontal,NAWM,g-ratio,192
NAWM_PVWM_occipital,NAWM,FA,192
NAWM_PVWM_occipital,NAWM,ICVF,192
NAWM_PVWM_occipital,NAWM,ISOVF,192
NAWM_PVWM_occipital,NAWM,MD,192
NAWM_PVWM_occipital,NAWM,MT,195
NAWM_PVWM_occipital,NAWM,OD,192
NAWM_PVWM_occipital,NAWM,R1,195
NAWM_PVWM_occipital,NAWM,R2*,195
NAWM_PVWM_occipital,NAWM,g-ratio,192
NAWM_PVWM_parietal,NAWM,FA,192
NAWM_PVWM_parietal,NAWM,ICVF,192
NAWM_PVWM_parietal,NAWM,ISOVF,192
NAWM_PVWM_parietal,NAWM,MD,192
NAWM_PVWM_parietal,NAWM,MT,195
NAWM_PVWM_parietal,NAWM,OD,192
NAWM_PVWM_parietal,NAWM,R1,195
NAWM_PVWM_parietal,NAWM,R2*,195
NAWM_PVWM_parietal,NAWM,g-ratio,192
NAWM_PVWM_temporal,NAWM,FA,192
NAWM_PVWM_temporal,NAWM,ICVF,192
NAWM_PVWM_temporal,NAWM,ISOVF,192
NAWM_PVWM_temporal,NAWM,MD,192
NAWM_PVWM_temporal,NAWM,MT,195
NAWM_PVWM_temporal,NAWM,OD,192
NAWM_PVWM_temporal,NAWM,R1,195
NAWM_PVWM_temporal,NAWM,R2*,195
NAWM_PVWM_temporal,NAWM,g-ratio,192
NAWM_SWM_frontal,NAWM,FA,188
NAWM_SWM_frontal,NAWM,ICVF,192
NAWM_SWM_frontal,NAWM,ISOVF,192
NAWM_SWM_frontal,NAWM,MD,188
NAWM_SWM_frontal,NAWM,MT,195
NAWM_SWM_frontal,NAWM,OD,192
NAWM_SWM_frontal,NAWM,R1,195
NAWM_SWM_frontal,NAWM,R2*,195
NAWM_SWM_frontal,NAWM,g-ratio,192
NAWM_SWM_occipital,NAWM,FA,191
NAWM_SWM_occipital,NAWM,ICVF,192
