Region,WMH_NAWM,Group,N_rows,FA,ICVF,ISOVF,MD,MT,OD,R1,R2*,g-ratio
NAWM_DWM_frontal,NAWM,NAWM,195,191,192,192,191,195,192,195,195,192
NAWM_DWM_occipital,NAWM,NAWM,195,191,192,192,191,195,192,195,195,192
NAWM_DWM_parietal,NAWM,NAWM,195,191,192,192,191,195,192,195,195,192
NAWM_DWM_temporal,NAWM,NAWM,195,192,192,192,192,195,192,195,195,192
NAWM_PVWM_frontal,NAWM,NAWM,195,192,192,192,192,195,192,195,195,192
NAWM_PVWM_occipital,NAWM,NAWM,195,192,192,192,192,195,192,195,195,192
NAWM_PVWM_parietal,NAWM,NAWM,195,192,192,192,192,195,192,195,195,192
NAWM_PVWM_temporal,NAWM,NAWM,195,192,192,192,192,195,192,195,195,192
NAWM_SWM_frontal,NAWM,NAWM,195,188,192,192,188,195,192,195,195,192
NAWM_SWM_occipital,NAWM,NAWM,195,191,192,192,191,195,192,195,195,192
NAWM_SWM_parietal,NAWM,NAWM,195,191,192,192,191,195,192,195,195,192
NAWM_SWM_temporal,NAWM,NAWM,195,187,192,192,187,195,192,195,195,192
WMH_DWM_frontal,WMH,WMH,195,159,159,159,159,162,159,162,162,159
WMH_DWM_occipital,WMH,WMH,195,104,104,104,104,106,104,106,106,104
WMH_DWM_parietal,WMH,WMH,195,145,145,145,145,148,145,148,148,145
WMH_DWM_temporal,WMH,WMH,195,58,58,58,58,59,58,59,59,58
WMH_PVWM_frontal,WMH,WMH,195,181,181,181,181,184,181,184,184,181
WMH_PVWM_occipital,WMH,WMH,195,163,163,163,163,164,163,164,164,163
WMH_PVWM_parietal,WMH,WMH,195,176,176,176,176,179,176,179,179,176
WMH_PVWM_temporal,WMH,WMH,195,132,132,132,132,133,132,133,133,132
WMH_SWM_frontal,WMH,WMH,195,141,141,141,141,143,141,143,143,141
WMH_SWM_occipital,WMH,WMH,195,75,75,75,75,77,75,77,77,75
WMH_SWM_parietal,WMH,WMH,195,107,107,107,107,109,107,109,109,107
WMH_SWM_temporal,WMH,WMH,195,50,50,50,50,51,50,51,51,50
