,MTsat,R1,R2*,ISOVF,ICVF,OD,MD,FA,g-ratio
PVWM_frontal,-0.3355,-0.3691,-0.3104,0.2704,-0.3981,-0.3071,0.4401,-0.1866,0.0746
PVWM_occipital,-0.2239,-0.1741,-0.2241,-0.0457,-0.3556,0.0712,0.1015,-0.2173,-0.0076
PVWM_temporal,-0.3414,-0.3103,-0.2892,0.2257,-0.4428,0.0197,0.4367,-0.4274,-0.0358
PVWM_parietal,-0.4122,-0.3461,-0.3338,0.4287,-0.3488,-0.0865,0.4964,-0.197,0.123
SWM_frontal,-0.3556,-0.3561,-0.2756,0.1722,-0.2951,-0.1423,0.3529,-0.2233,0.1832
SWM_occipital,-0.0346,0.008,0.0183,0.0507,0.0221,-0.1173,0.0293,0.0443,0.0627
SWM_temporal,-0.2711,-0.2733,-0.043,0.1885,0.0997,0.019,-0.027,0.1317,0.4469
SWM_parietal,-0.2268,-0.2568,-0.119,0.1043,-0.1606,-0.0537,0.24,-0.0975,0.1209
DWM_frontal,-0.3327,-0.3766,-0.3545,0.135,-0.3929,-0.1689,0.4494,-0.33,0.0411
DWM_occipital,-0.2331,-0.1408,-0.0349,0.2518,-0.1552,-0.2706,0.2437,0.0404,0.1177
DWM_temporal,-0.2796,-0.2774,-0.1721,0.197,-0.2522,0.07,0.3217,-0.3351,0.0617
DWM_parietal,-0.3325,-0.3235,-0.389,0.2678,-0.399,-0.0714,0.4629,-0.3278,-0.0131
