,MTsat,R1,R2*,ISOVF,ICVF,OD,MD,FA,g-ratio
PVWM_frontal,-0.0081,-0.1462,-0.2945,0.0623,-0.1917,-0.3652,0.1254,0.2348,-0.0508
PVWM_occipital,-0.0371,-0.1007,-0.0213,0.1106,-0.3904,-0.0612,0.3401,-0.0825,-0.1129
PVWM_temporal,-0.2229,-0.2647,-0.1571,-0.1333,-0.6241,-0.3214,0.1203,-0.2335,-0.2163
PVWM_parietal,-0.0738,-0.1242,-0.2336,-0.2738,-0.4621,-0.3914,-0.0465,0.1683,-0.1302
SWM_frontal,-0.1525,-0.1514,-0.0548,0.1791,-0.3378,-0.0126,0.375,-0.1759,-0.2381
SWM_occipital,-0.3532,-0.2919,-0.0547,0.226,-0.248,-0.1899,0.4118,0.0529,0.0723
SWM_temporal,-0.0292,-0.0453,0.0304,0.1536,0.0219,-0.2274,0.0685,0.227,0.0106
SWM_parietal,-0.2587,-0.3478,-0.4058,0.0684,-0.5381,0.1002,0.1945,-0.3214,-0.3021
DWM_frontal,-0.2023,-0.2988,-0.3252,0.2031,-0.5267,0.1263,0.5561,-0.3064,-0.3829
DWM_occipital,-0.1663,-0.1935,-0.0453,0.2211,-0.2937,-0.1634,0.3829,-0.0671,-0.2505
DWM_temporal,-0.2296,-0.357,-0.2456,0.1259,-0.4344,0.0208,0.4712,-0.2365,-0.241
DWM_parietal,-0.4776,-0.5023,-0.5075,0.342,-0.727,0.0839,0.7219,-0.5333,-0.4488
