,MTsat,R1,R2*,ISOVF,ICVF,OD,MD,FA,g-ratio
PVWM_frontal,5e-06,1e-06,4.2e-05,0.000377,0.0,3.9e-05,0.0,0.01742,0.374782
PVWM_occipital,0.009555,0.047839,0.009432,0.66139,1.2e-05,0.455726,0.263687,0.01114,0.93066
PVWM_temporal,0.000451,0.001705,0.003448,0.027146,2e-06,0.884824,3e-06,6e-06,0.766781
PVWM_parietal,0.0,2.5e-05,4.1e-05,0.0,1.6e-05,0.353543,0.0,0.022023,0.163662
SWM_frontal,0.000183,0.000142,0.004596,0.089248,0.002215,0.168294,0.000184,0.024852,0.068678
SWM_occipital,0.822477,0.942483,0.904199,0.73471,0.886756,0.390481,0.849743,0.766781,0.674155
SWM_temporal,0.088419,0.090397,0.82592,0.255644,0.585797,0.911848,0.88993,0.44706,0.002592
SWM_parietal,0.031039,0.013772,0.301252,0.368849,0.142466,0.674155,0.022023,0.396317,0.281485
DWM_frontal,0.000126,1.4e-05,4.4e-05,0.156826,4e-06,0.073071,0.0,0.000167,0.715742
DWM_occipital,0.026272,0.20513,0.789147,0.020232,0.159491,0.01114,0.019558,0.75235,0.291514
DWM_temporal,0.033042,0.036633,0.230163,0.147743,0.063232,0.664089,0.013129,0.010828,0.703497
DWM_parietal,0.000206,0.000346,1.4e-05,0.003681,6e-06,0.507738,0.0,0.00025,0.904199
