,MTsat,R1,R2*,ISOVF,ICVF,OD,MD,FA,g-ratio
PVWM_frontal,0.917971,0.056036,3.5e-05,0.468437,0.010828,0.0,0.109979,0.001705,0.572739
PVWM_occipital,0.71795,0.263087,0.839758,0.216474,1e-06,0.533867,2.4e-05,0.366961,0.20513
PVWM_temporal,0.029219,0.009432,0.142167,0.204645,0.0,0.000946,0.263087,0.020962,0.032169
PVWM_parietal,0.429227,0.159491,0.0051,0.000977,0.0,1e-06,0.65554,0.05256,0.136022
SWM_frontal,0.120663,0.117049,0.630303,0.06735,0.000271,0.906964,3.5e-05,0.078413,0.013129
SWM_occipital,0.003681,0.016846,0.71795,0.073071,0.05071,0.130754,0.000298,0.719017,0.621685
SWM_temporal,0.886756,0.822477,0.886756,0.374782,0.904199,0.169997,0.719017,0.159491,0.942483
SWM_parietal,0.012776,0.000451,4.2e-05,0.583734,0.0,0.382819,0.073071,0.001365,0.002649
DWM_frontal,0.022548,0.000562,0.000183,0.026307,0.0,0.169997,0.0,0.000351,7e-06
DWM_occipital,0.131642,0.073401,0.719017,0.036633,0.00405,0.142167,9e-05,0.591512,0.01742
DWM_temporal,0.090397,0.005983,0.073071,0.390481,0.000425,0.899412,0.000115,0.077041,0.073071
DWM_parietal,0.0,0.0,0.0,0.000122,0.0,0.403357,0.0,0.0,0.0
