Region,Outcome,Metric,n_trimmed,n_no_outlier_trim,beta_std_z_reg_trimmed,p_z_reg_trimmed,beta_raw_trimmed,beta_std_from_raw_trimmed,p_raw_trimmed,beta_raw_no_outlier_trim,beta_std_no_outlier_trim,p_raw_no_outlier_trim
NAWM,log_pct_WMH,FA,338,341,-0.6436892830078287,6.207826076975202e-41,-93.43113122465604,-0.6436892830078285,6.207826076975823e-41,-92.19391705206189,-0.649011324913736,3.707853829983992e-42
NAWM,log_pct_WMH,ICVF,336,341,-0.3264992402321564,8.712826355698345e-10,-43.38404594855989,-0.3264992402321555,8.712826355699741e-10,-41.35411568594565,-0.33161566027249034,3.3907717100963416e-10
NAWM,log_pct_WMH,ISOVF,338,341,0.7482809666200486,7.515577085849473e-62,128.9803421945996,0.7482809666200486,7.515577085849473e-62,120.94502275316417,0.7300628555560941,5.279087298014088e-58
NAWM,log_pct_WMH,MD,334,341,0.6955695104118942,1.3266263749727302e-49,61838.61085496675,0.6955695104118944,1.3266263749728816e-49,58820.27346077681,0.7025752138595192,4.9943322129104646e-52
NAWM,log_pct_WMH,MT,340,341,-0.6958097596171409,1.6203398890008562e-50,-18.99959503898429,-0.6958097596171414,1.6203398890010412e-50,-18.785167359805932,-0.6952633350084334,1.4926518509016085e-50
NAWM,log_pct_WMH,OD,337,341,0.4493977124349521,3.722167240589034e-18,138.26403239413528,0.44939771243495197,3.722167240589356e-18,130.4168397728181,0.44353194848215005,7.23494915945023e-18
NAWM,log_pct_WMH,R1,339,341,-0.6148530958678625,1.2456985651072391e-36,-0.04251197803996031,-0.6148530958678629,1.2456985651074347e-36,-0.04148346525062994,-0.6141100921454163,9.917773356818497e-37
NAWM,log_pct_WMH,R2*,339,341,-0.35732369197232217,1.2029495372779635e-11,-1111.1766084549897,-0.35732369197232194,1.202949537278068e-11,-1075.1902121592223,-0.3559338355130427,1.2732577636144369e-11
NAWM,log_pct_WMH,g-ratio,340,341,0.5572104168230333,4.00315792325076e-29,107.46144533301793,0.5572104168230324,4.0031579232501016e-29,106.46979305708803,0.5584248510119731,2.3731563095136247e-29
WMH,log_WMH_volume,FA,316,322,-0.041800418478293994,0.45903336239333925,-1.7989037822324327,-0.041800418478293785,0.45903336239334136,-4.4054262140271785,-0.1119218739960955,0.044764005491652395
WMH,log_WMH_volume,ICVF,314,322,-0.08807227149461912,0.11936408606075466,-4.091225993625236,-0.08807227149461909,0.11936408606075474,-7.224503859584856,-0.17162225646703072,0.0019972737302815964
WMH,log_WMH_volume,ISOVF,318,322,0.4975723183449779,2.702313009764277e-21,16.06273429230056,0.49757231834497784,2.7023130097643743e-21,11.17898567444732,0.3682666156240484,8.85896473685142e-12
WMH,log_WMH_volume,MD,315,322,0.4408979311563534,2.0530540025763124e-16,9556.555584464408,0.44089793115635345,2.053054002576179e-16,7427.968280968346,0.3791570631117425,1.8957817492169415e-12
WMH,log_WMH_volume,MT,314,322,0.09234919382456819,0.10238539108858376,2.070794694204014,0.09234919382456816,0.10238539108858372,-1.0113894106489307,-0.057526601060999695,0.30342519575076127
WMH,log_WMH_volume,OD,315,322,0.04665022183773132,0.4093051397157442,2.2681622970516337,0.04665022183773135,0.409305139715744,-4.2989636640471565,-0.10725904441181618,0.05451020647995039
WMH,log_WMH_volume,R1,314,322,-0.19343357496574545,0.0005677112317753827,-0.009448115210076486,-0.19343357496574534,0.0005677112317753827,-0.011281195965313228,-0.27603649604961644,4.850360245972899e-07
WMH,log_WMH_volume,R2*,316,322,-0.44651336069090697,6.860977107946914e-17,-646.3207443169898,-0.44651336069090686,6.860977107947014e-17,-566.8366731200101,-0.43528647283010696,2.554731070640605e-16
WMH,log_WMH_volume,g-ratio,313,322,-0.2487449442278014,8.45481218560771e-06,-23.270648070985395,-0.2487449442278016,8.454812185607633e-06,-16.741363989976374,-0.2138818526502747,0.00010977736298559205
