Region,Group,FA,ICVF,ISOVF,MD,MT,OD,R1,R2*,g-ratio
NAWM_DWM_frontal,NAWM,320,320,320,320,324,320,324,324,320
NAWM_DWM_parietal,NAWM,276,276,276,276,279,276,279,279,276
NAWM_DWM_temporal,NAWM,30,30,30,30,30,30,30,30,30
NAWM_PVWM_frontal,NAWM,341,348,348,341,353,348,353,353,348
NAWM_PVWM_occipital,NAWM,347,348,348,347,353,348,353,353,348
NAWM_PVWM_parietal,NAWM,347,348,348,347,353,348,353,353,348
NAWM_PVWM_temporal,NAWM,341,348,348,341,353,348,353,353,348
NAWM_SWM_frontal,NAWM,341,348,348,341,353,348,353,353,348
NAWM_SWM_occipital,NAWM,347,348,348,347,353,348,353,353,348
NAWM_SWM_parietal,NAWM,347,348,348,347,353,348,353,353,348
NAWM_SWM_temporal,NAWM,341,348,348,341,353,348,353,353,348
WMH_DWM_frontal,WMH,17,17,17,17,17,17,17,17,17
WMH_DWM_parietal,WMH,20,20,20,20,20,20,20,20,20
WMH_PVWM_frontal,WMH,251,251,251,251,255,251,255,255,251
WMH_PVWM_occipital,WMH,258,258,258,258,262,258,262,262,258
WMH_PVWM_parietal,WMH,235,235,235,235,239,235,239,239,235
WMH_PVWM_temporal,WMH,152,152,152,152,154,152,154,154,152
WMH_SWM_frontal,WMH,240,240,240,240,244,240,244,244,240
WMH_SWM_occipital,WMH,209,209,209,209,213,209,213,213,209
WMH_SWM_parietal,WMH,195,195,195,195,199,195,199,199,195
WMH_SWM_temporal,WMH,76,76,76,76,78,76,78,78,76
